Municipality_name,Population
's-Gravenhage,545163
's-Hertogenbosch,155113
Aa en Hunze,25453
Aalsmeer,31857
Aalten,27117
Achtkarspelen,27836
Alblasserdam,20165
Albrandswaard,25589
Alkmaar,109444
Almelo,73080
Almere,211840
Alphen-Chaam,10213
Alphen aan den Rijn,111889
Altena,55980
Ameland,3718
Amersfoort,157279
Amstelveen,91691
Amsterdam,872779
Apeldoorn,163829
Appingedam,11644
Arnhem,161368
Assen,68606
Asten,16734
Baarle-Nassau,6860
Baarn,24873
Barendrecht,48713
Barneveld,59077
Beek,15868
Beekdaelen,35976
Beemster,10025
Beesel,13483
Berg en Dal,34990
Bergeijk,18638
Bergen (L.),13085
Bergen (NH.),29844
Bergen op Zoom,67489
Berkelland,43748
Bernheze,31247
Best,29985
Beuningen,25891
Beverwijk,41613
Bladel,20395
Blaricum,11536
Bloemendaal,23570
Bodegraven-Reeuwijk,34869
Boekel,10784
Borger-Odoorn,25558
Borne,23313
Borsele,22738
Boxmeer,29371
Boxtel,30803
Breda,184271
Brielle,17282
Bronckhorst,36052
Brummen,20756
Brunssum,27817
Bunnik,15191
Bunschoten,21867
Buren,26742
Capelle aan den IJssel,67151
Castricum,35988
Coevorden,35296
Cranendonck,21166
Cuijk,25139
Culemborg,28956
Dalfsen,28585
Dantumadiel,18916
De Bilt,43124
De Fryske Marren,51567
De Ronde Venen,44457
De Wolden,24327
Delft,103659
Delfzijl,24666
Den Helder,56305
Deurne,32474
Deventer,100718
Diemen,30781
Dinkelland,26470
Doesburg,11078
Doetinchem,58009
Dongen,26226
Dordrecht,119300
Drechterland,19717
Drimmelen,27274
Dronten,41569
Druten,18918
Duiven,25124
Echt-Susteren,31618
Edam-Volendam,36201
Ede,117166
Eemnes,9247
Eersel,19314
Eijsden-Margraten,25753
Eindhoven,234456
Elburg,23161
Emmen,107055
Enkhuizen,18592
Enschede,159734
Epe,33186
Ermelo,27005
Etten-Leur,43880
Geertruidenberg,21538
Geldrop-Mierlo,39733
Gemert-Bakel,30725
Gennep,16924
Gilze en Rijen,26438
Goeree-Overflakkee,50049
Goes,38080
Goirle,23906
Gooise Meren,58041
Gorinchem,37009
Gouda,73443
Grave,12437
Groningen,232922
Gulpen-Wittem,14176
Haaksbergen,24309
Haaren,14371
Haarlem,162961
Haarlemmermeer,156039
Halderberge,30277
Hardenberg,60940
Harderwijk,48429
Hardinxveld-Giessendam,18295
Harlingen,15720
Hattem,12213
Heemskerk,39188
Heemstede,27239
Heerde,18587
Heerenveen,50494
Heerhugowaard,57592
Heerlen,87057
Heeze-Leende,16150
Heiloo,23974
Hellendoorn,35923
Hellevoetsluis,40158
Helmond,92432
Hendrik-Ido-Ambacht,31204
Hengelo,81147
Het Hogeland,47834
Heumen,16450
Heusden,44699
Hillegom,22208
Hilvarenbeek,15514
Hilversum,90883
Hoeksche Waard,87461
Hof van Twente,35013
Hollands Kroon,48434
Hoogeveen,55697
Hoorn,73232
Horst aan de Maas,42433
Houten,50146
Huizen,41273
Hulst,27556
IJsselstein,34110
Kaag en Braassem,27300
Kampen,54340
Kapelle,12691
Katwijk,65754
Kerkrade,45744
Koggenland,22752
Krimpen aan den IJssel,29533
Krimpenerwaard,56319
Laarbeek,22530
Landerd,15730
Landgraaf,37457
Landsmeer,11492
Langedijk,28157
Lansingerland,62396
Laren,11274
Leeuwarden,124058
Leiden,125174
Leiderdorp,27059
Leidschendam-Voorburg,76553
Lelystad,78619
Leudal,35896
Leusden,30399
Lingewaard,46606
Lisse,22957
Lochem,33730
Loon op Zand,23407
Lopik,14471
Loppersum,9533
Losser,22685
Maasdriel,25034
Maasgouw,23960
Maassluis,33216
Maastricht,121558
Medemblik,45104
Meerssen,18832
Meierijstad,81197
Meppel,33902
Middelburg,48810
Midden-Delfland,19344
Midden-Drenthe,33182
Midden-Groningen,60804
Mill en Sint Hubert,10941
Moerdijk,37136
Molenlanden,43931
Montferland,36009
Montfoort,13920
Mook en Middelaar,7847
Neder-Betuwe,24342
Nederweert,17022
Nieuwegein,63461
Nieuwkoop,28809
Nijkerk,43176
Nijmegen,177698
Nissewaard,85237
Noardeast-Fryslân,45251
Noord-Beveland,7395
Noordenveld,31242
Noordoostpolder,47262
Noordwijk,43528
"Nuenen, Gerwen en Nederwetten",23379
Nunspeet,27845
Oegstgeest,24843
Oirschot,18723
Oisterwijk,26241
Oldambt,38213
Oldebroek,23645
Oldenzaal,31832
Olst-Wijhe,18251
Ommen,18007
Oost Gelre,29623
Oosterhout,55990
Ooststellingwerf,25472
Oostzaan,9733
Opmeer,11837
Opsterland,29742
Oss,91932
Oude IJsselstreek,39392
Ouder-Amstel,14029
Oudewater,10226
Overbetuwe,47909
Papendrecht,32133
Peel en Maas,43420
Pekela,12199
Pijnacker-Nootdorp,55329
Purmerend,81233
Putten,24113
Raalte,37709
Reimerswaal,22728
Renkum,31404
Renswoude,5448
Reusel-De Mierden,13110
Rheden,43736
Rhenen,20125
Ridderkerk,46204
Rijssen-Holten,38178
Rijswijk,54432
Roerdalen,20572
Roermond,58254
Roosendaal,77226
Rotterdam,651376
Rozendaal,1705
Rucphen,22873
Schagen,46482
Scherpenzeel,9880
Schiedam,78739
Schiermonnikoog,947
Schouwen-Duiveland,33858
Simpelveld,10552
Sint-Michielsgestel,29203
Sint Anthonis,11672
Sittard-Geleen,92422
Sliedrecht,25217
Sluis,23217
Smallingerland,56154
Soest,46607
Someren,19376
Son en Breugel,17321
Stadskanaal,31688
Staphorst,17144
Stede Broec,21734
Steenbergen,24501
Steenwijkerland,44139
Stein,25000
Stichtse Vecht,64928
Súdwest-Fryslân,89987
Terneuzen,54438
Terschelling,4889
Texel,13573
Teylingen,37426
Tholen,25758
Tiel,42161
Tilburg,219800
Tubbergen,21279
Twenterand,33743
Tynaarlo,33879
Tytsjerksteradiel,32046
Uden,42122
Uitgeest,13649
Uithoorn,29466
Urk,21033
Utrecht,357694
Utrechtse Heuvelrug,49601
Vaals,10099
Valkenburg aan de Geul,16360
Valkenswaard,31200
Veendam,27387
Veenendaal,66491
Veere,21885
Veldhoven,45458
Velsen,68660
Venlo,101797
Venray,43604
Vijfheerenlanden,56816
Vlaardingen,73445
Vlieland,1152
Vlissingen,44365
Voerendaal,12471
Voorschoten,25603
Voorst,24546
Vught,26554
Waadhoeke,46079
Waalre,17454
Waalwijk,48620
Waddinxveen,29293
Wageningen,39673
Wassenaar,26214
Waterland,17422
Weert,50107
Weesp,19729
West Betuwe,51198
West Maas en Waal,19320
Westerkwartier,63375
Westerveld,19460
Westervoort,14973
Westerwolde,25796
Westland,110357
Weststellingwerf,25916
Westvoorne,14728
Wierden,24440
Wijchen,41124
Wijdemeren,24360
Wijk bij Duurstede,23910
Winterswijk,28865
Woensdrecht,21883
Woerden,52294
Wormerland,16299
Woudenberg,13362
Zaanstad,156711
Zaltbommel,28901
Zandvoort,17116
Zeewolde,22656
Zeist,64932
Zevenaar,43740
Zoetermeer,125283
Zoeterwoude,8611
Zuidplas,43894
Zundert,21821
Zutphen,47942
Zwartewaterland,22690
Zwijndrecht,44741
Zwolle,128831
